Main Category,Sub Category,2018 Onward ACS/PRCS,Occupation title
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Education Instruction and Library Occupations:,252030,Secondary School Teachers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Education Instruction and Library Occupations:,252050,Special Education Teachers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Education Instruction and Library Occupations:,253041,Tutors
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Education Instruction and Library Occupations:,2530XX,Other Teachers And Instructors
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Education Instruction and Library Occupations:,254010,"Archivists, Curators, and Museum Technicians"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Education Instruction and Library Occupations:,254022,Librarians And Media Collections Specialists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Education Instruction and Library Occupations:,254031,Library Technicians
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Education Instruction and Library Occupations:,259040,Teaching Assistants
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Education Instruction and Library Occupations:,2590XX,Other educational instruction and library workers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",271010,Artists and Related Workers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",271021,Commercial And Industrial Designers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",271022,Fashion Designers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",271023,Floral Designers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",271024,Graphic Designers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",271025,Interior Designers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",271026,Merchandise Displayers And Windows Trimmers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",27102X,Other Designers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",272011,Actors
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",272012,Producers and Directors
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",272021,Athletes And Sports Competitors
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",272022,Coaches And Scouts
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",272023,"Umpires, Referees, And Other Sports Officials"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",272030,Dancers and Choreographers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",272041,Music Directors And Composers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",272042,Musicians And Singers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",272091,"Disc Jockeys, Except Radio"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",272099,"Entertainers and Performers, Sports and Related Workers, All Other"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",273011,Broadcast Announcers And Radio Disc Jockeys
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",273023,"News Analysts, Reporters, And Journalists"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",273031,Public Relations Specialists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",273041,Editors
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",273042,Technical Writers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",273043,Writers and Authors
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",273091,Interpreters And Translators
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",273092,Court Reporters And Simultaneous Captioners
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",273099,"Media And Communications Workers, All Other"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",2740XX,Other Media And Communication Equipment Workers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",274021,Photographers
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:","Arts, Design, Entertainment, Sports, and Media Occupations:",274030,"Television, Video, and Motion Picture Camera Operators and Editors"
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291011,Chiropractors
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291020,Dentists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291031,Dieticians and Nutritionists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291041,Optometrists
"MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS:",Healthcare Practitioners and Technical Occupations:,291051,Pharmacists
